campaign_id,card_id,merchant_id,category,title,description,condition,benefit_amount,start_date,end_date,bank_id
garanti_CAMP_39,garanti_CARD_CUST_0325_2,MERCH_11,CAT_5,Cloned hybrid productivity,Nulla suscipit pariatur iusto deleniti nihil fugiat blanditiis.,300 TL ve üzeri alışveriş,50,2025-07-15,2025-07-24,garanti
garanti_CAMP_40,garanti_CARD_CUST_0334_2,MERCH_18,CAT_5,Organized client-driven circuit,Blanditiis nihil vel error.,150 TL ve üzeri alışveriş,25,2025-07-15,2025-08-17,garanti
garanti_CAMP_41,garanti_CARD_CUST_0454_1,MERCH_3,CAT_4,Re-engineered interactive methodology,Voluptas culpa explicabo.,150 TL ve üzeri alışveriş,150,2025-07-18,2025-08-05,garanti
garanti_CAMP_42,garanti_CARD_CUST_0200_3,MERCH_2,CAT_2,Managed multimedia circuit,Dolorem asperiores debitis eius tenetur soluta.,250 TL ve üzeri alışveriş,150,2025-07-13,2025-08-01,garanti
garanti_CAMP_43,garanti_CARD_CUST_0447_3,MERCH_16,CAT_3,Up-sized context-sensitive knowledgebase,Voluptatem dolorem blanditiis eius.,300 TL ve üzeri alışveriş,25,2025-07-18,2025-07-31,garanti
garanti_CAMP_44,garanti_CARD_CUST_0186_1,MERCH_12,CAT_4,Programmable multimedia task-force,Neque tempora omnis autem quis eius.,250 TL ve üzeri alışveriş,25,2025-07-09,2025-08-06,garanti
garanti_CAMP_45,garanti_CARD_CUST_0061_2,MERCH_5,CAT_3,Networked disintermediate moratorium,Ut voluptates iste ratione in tempore hic incidunt.,300 TL ve üzeri alışveriş,25,2025-07-10,2025-07-27,garanti
garanti_CAMP_46,garanti_CARD_CUST_0123_3,MERCH_2,CAT_2,Switchable full-range instruction set,Doloribus placeat dicta omnis architecto officiis aut.,500 TL ve üzeri alışveriş,100,2025-07-15,2025-07-29,garanti
garanti_CAMP_47,garanti_CARD_CUST_0126_1,MERCH_11,CAT_5,Reduced analyzing policy,Assumenda assumenda quaerat fugit ducimus iusto.,150 TL ve üzeri alışveriş,100,2025-07-12,2025-08-17,garanti
garanti_CAMP_48,garanti_CARD_CUST_0250_2,MERCH_2,CAT_2,De-engineered 3rdgeneration productivity,Quisquam ipsam eaque expedita beatae amet fuga.,250 TL ve üzeri alışveriş,150,2025-07-15,2025-08-16,garanti
garanti_CAMP_49,garanti_CARD_CUST_0490_1,MERCH_13,CAT_5,Operative methodical Graphic Interface,Numquam nihil error placeat dolore architecto.,250 TL ve üzeri alışveriş,50,2025-07-08,2025-07-19,garanti
garanti_CAMP_50,garanti_CARD_CUST_0336_4,MERCH_18,CAT_5,Polarized motivating Local Area Network,Natus officiis vitae deserunt ad facilis optio.,250 TL ve üzeri alışveriş,25,2025-07-09,2025-08-15,garanti
